                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.71346,                 0.5037,                0.97312,                0.98216,                0.98765,                0.98525,                0.82525,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.70426,                0.51399,                0.96733,                0.98452,                0.98765,                0.98548,                0.80495,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.68158,                0.50456,                0.95514,                0.99548,                0.97531,                0.98559,                0.82464,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.69888,                0.51783,                0.95695,                0.97487,                0.98765,                0.98523,                0.83903,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.63637,                0.45798,                0.94563,                0.97557,                0.98605,                  0.985,                 0.8293,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.66337,                0.47048,                 0.9421,                0.98739,                0.96705,                0.98533,                0.80787,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.64395,                0.47849,                0.93568,                      1,                0.96104,                0.98541,                0.82376,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.64492,                0.46403,                0.92658,                      1,                0.95908,                0.98518,                0.84432,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.63445,                0.46605,                0.92424,                0.98733,                0.96234,                0.98093,                0.82968,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.67294,                0.48356,                0.94646,                0.98747,                0.97271,                0.98556,                0.84202,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.64105,                0.48328,                0.94461,                0.99846,                0.96296,                 0.9857,                0.85225,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 0.6283,                0.46635,                0.94241,                0.99616,                0.98765,                0.98622,                0.85899,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.65097,                0.46143,                0.94115,                0.99885,                0.98765,                0.98634,                0.83874,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.60651,                0.43621,                0.92175,                0.98764,                0.98675,                0.98531,                0.84482,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.60133,                 0.4535,                0.92524,                0.98671,                0.98765,                0.98495,                0.85431,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.61652,                0.44164,                0.93281,                0.98696,                0.98765,                0.98626,                0.84359,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.59267,                0.44645,                0.92908,                0.98668,                0.98765,                0.98611,                0.84731,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.63552,                0.45244,                0.94156,                0.99913,                0.98765,                0.98652,                0.82778,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.58174,                0.42048,                0.92369,                0.99906,                0.98765,                0.98658,                 0.8278,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.62936,                0.44449,                0.92064,                0.99886,                0.98765,                0.98623,                0.83307,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.59308,                0.43786,                 0.9243,                0.99706,                0.98765,                0.98634,                0.84438,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 0.5562,                0.38788,                0.91159,                0.99447,                0.98765,                0.98644,                0.84575,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.58518,                0.46396,                0.93455,                0.98884,                0.97531,                0.98624,                0.85254,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.61873,                0.42136,                0.94041,                0.99761,                0.98765,                0.98633,                0.84165,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56796,                0.41279,                0.90865,                0.99837,                0.98765,                0.98648,                 0.8514,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.56576,                0.41825,                0.91903,                      1,                0.98539,                0.98666,                0.83878,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.57927,                0.40509,                 0.9166,                      1,                0.98503,                0.98654,                0.84776,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 0.5045,                0.37118,                0.89746,                0.99687,                0.97531,                0.98646,                0.85031,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.55185,                0.38561,                0.90622,                 0.9894,                0.97531,                0.98654,                0.85895,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.56972,                0.39474,                0.92673,                0.98765,                0.98742,                0.98691,                0.85311,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 0.5584,                0.39344,                0.92342,                0.98626,                0.98765,                0.98695,                0.84773,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.54637,                0.42025,                0.91177,                0.99936,                0.98765,                0.98693,                0.84325,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.46395,                0.35112,                0.84402,                0.99609,                0.97531,                0.98654,                0.83347,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.47546,                0.35059,                0.84663,                0.99691,                0.97531,                0.98636,                0.84692,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.47005,                 0.3359,                0.83356,                0.98765,                0.98748,                 0.9865,                 0.8556,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.48439,                0.33419,                 0.8795,                0.98764,                0.98634,                0.98648,                0.84086,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.45392,                0.32738,                0.87271,                0.98764,                0.98619,                0.98651,                0.84363,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.45405,                0.33768,                0.84406,                0.98764,                0.98675,                0.98648,                0.84698,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.43978,                 0.3174,                0.84651,                0.98765,                0.98711,                0.98641,                0.84639,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.44823,                0.32828,                0.84675,                0.98683,                0.98765,                0.98644,                0.85401,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.44455,                0.31994,                0.83848,                0.98689,                0.98765,                0.98654,                0.85753,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.43351,                0.32178,                0.83833,                 0.9869,                0.98765,                0.98655,                0.85656,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
